Date,valor
2003-01-05,0.0
2003-01-12,0.0
2003-01-19,0.0
2003-01-26,0.0
2003-02-02,0.0
2003-02-09,0.0
2003-02-16,0.0
2003-02-23,0.0
2003-03-02,0.0
2003-03-09,0.0
2003-03-16,0.0
2003-03-23,0.0
2003-03-30,0.0
2003-04-06,0.0
2003-04-13,0.0
2003-04-20,0.0
2003-04-27,0.0
2003-05-04,0.0
2003-05-11,0.0
2003-05-18,0.0
2003-05-25,0.0
2003-06-01,6.620433969446698e-05
2003-06-08,0.0011126632447534272
2003-06-15,0.0036968724299550467
2003-06-22,0.0010214504596527069
2003-06-29,0.0006804928033929688
2003-07-06,0.0030128912231021255
2003-07-13,0.006333301824369033
2003-07-20,0.0020077001204620074
2003-07-27,0.006077474035112548
2003-08-03,0.0047266635732318265
2003-08-10,0.0026657859350303144
2003-08-17,0.0023058338383083205
2003-08-24,0.0004731376120744719
2003-08-31,0.0037488132815099114
2003-09-07,0.0009258808050289947
2003-09-14,0.0016647804622021028
2003-09-21,0.019622163793942934
2003-09-28,0.0014774526119251533
2003-10-05,0.0008638994970005733
2003-10-12,0.0015278101655663754
2003-10-19,0.0006592646786888673
2003-10-26,0.0020812239847001913
2003-11-02,0.0016520309555314969
2003-11-09,0.00405745807027613
2003-11-16,0.005395540111895691
2003-11-23,0.00756913193505812
2003-11-30,0.0016224163864055027
2003-12-07,0.027956563094483196
2003-12-14,0.010550893718074382
2003-12-21,0.0025484677923702315
2003-12-28,0.0034894293226739185
2004-01-04,0.013804909025649521
2004-01-11,0.014128503899075663
2004-01-18,0.009034870369251224
2004-01-25,0.008989086298247467
2004-02-01,0.02766272636575264
2004-02-08,0.009528188814931516
2004-02-15,0.003360462063533736
2004-02-22,0.0009638125458737702
2004-02-29,0.0065556711758584804
2004-03-07,0.00789771424768356
2004-03-14,0.0008714532590874851
2004-03-21,0.007499004556917223
2004-03-28,0.0008037221923181855
2004-04-04,0.0014669674318486738
2004-04-11,0.0010392099056603773
2004-04-18,0.0016094893729605786
2004-04-25,0.0011428992773927149
2004-05-02,0.0022340025510392165
2004-05-09,0.0015240857335217478
2004-05-16,0.009553645975720587
2004-05-23,0.0030692499520429697
2004-05-30,0.004987829994383074
2004-06-06,0.0036479538767868287
2004-06-13,0.003463349271085793
2004-06-20,0.002839093813534708
2004-06-27,0.0026827874957516505
2004-07-04,0.0015059240394197763
2004-07-11,0.0015932750814661013
2004-07-18,0.003733455632071889
2004-07-25,0.0028108123533062716
2004-08-01,0.004216253943835509
2004-08-08,0.0013387738825154708
2004-08-15,0.012737310774710596
2004-08-22,0.003113515357876554
2004-08-29,0.0026907485108588385
2004-09-05,0.030215816801048692
2004-09-12,0.009013634130063293
2004-09-19,0.016125959791336967
2004-09-26,0.01589719181342218
2004-10-03,0.006715471103787205
2004-10-10,0.0019887473061513763
2004-10-17,0.0005711765513950445
2004-10-24,0.003303407497361611
2004-10-31,0.0026713965105335555
2004-11-07,0.0019881004208387753
2004-11-14,0.0021642034932277863
2004-11-21,0.003436101586563608
2004-11-28,0.0053976773167580296
2004-12-05,0.0010507804233769456
2004-12-12,0.006826916717494984
2004-12-19,0.007196543335390872
2004-12-26,0.032590626731604885
2005-01-02,0.0043967321313586605
2005-01-02,0.0032658569500674762
2005-01-09,0.01706986873859556
2005-01-16,0.01317642850222464
2005-01-23,0.053228933631618194
2005-01-30,0.0326172239865496
2005-02-06,0.0030966649586740037
2005-02-13,0.0038116906620965776
2005-02-20,0.0046923307435370815
2005-02-27,0.007365562194459533
2005-03-06,0.010012786892351704
2005-03-13,0.010852612892329144
2005-03-20,0.0013196964698119432
2005-03-27,0.0030193887894407662
2005-04-03,0.005256778949935097
2005-04-10,0.007402882092931325
2005-04-17,0.0021491773466644623
2005-04-24,0.0024298541368626128
2005-05-01,0.0021787745651439213
2005-05-08,0.0012514391550282826
2005-05-15,0.0019939750394491465
2005-05-22,0.0028887611382581203
2005-05-29,0.0005554499875754608
2005-06-05,0.0029903659775614468
2005-06-12,0.006661857682352442
2005-06-19,0.0015494745107937375
2005-06-26,0.0015823781883870245
2005-07-03,0.005210117620189562
2005-07-10,0.01048571347981835
2005-07-17,0.008066712762168166
2005-07-24,0.004713687150837989
2005-07-31,0.0031723183777853862
2005-08-07,0.0026077160579677894
2005-08-14,0.005029635194924451
2005-08-21,0.004065697172268996
2005-08-28,0.00717810997864423
2005-09-04,0.01655616874699063
2005-09-11,0.00348051136743937
2005-09-18,0.0030145040280655563
2005-09-25,0.023286605526548078
2005-10-02,0.0007183101753125772
2005-10-09,0.0021794595237918132
2005-10-16,0.004835158295643894
2005-10-23,0.0015243222342846096
2005-10-30,0.01872692628319638
2005-11-06,0.0037472027394379946
2005-11-13,0.0007441091360066144
2005-11-20,0.004071368698359478
2005-11-27,0.002790990211879398
2005-12-04,0.0028758209820509105
2005-12-11,0.0224871752828465
2005-12-18,0.010555897751770866
2005-12-25,0.0030906646474324305
2006-01-01,0.0035093582887700536
2006-01-08,0.004038549108309259
2006-01-15,0.005741758662399902
2006-01-22,0.00721207331763045
2006-01-29,0.003614679743979371
2006-02-05,0.004862336068716926
2006-02-12,0.02990826106453648
2006-02-19,0.010842668826202367
2006-02-26,0.0031290781824652985
2006-03-05,0.004766592404538625
2006-03-12,0.0030629783608291344
2006-03-19,0.005030431913177385
2006-03-26,0.0014441544732135003
2006-04-02,0.0014109837407883963
2006-04-09,0.0022422340805020274
2006-04-16,0.0017336829836829837
2006-04-23,0.0014827413270534877
2006-04-30,0.0015288506554307117
